_id,Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
1,2017,1,MUMBAI,ABUDHABI,117706,87665,2490.83,1839.91
2,2017,2,MUMBAI,ABUDHABI,108476,103325,3264.71,1512.03
3,2017,3,MUMBAI,ABUDHABI,88178,76016,3003.15,1851.57
4,2017,4,MUMBAI,ABUDHABI,85707,95546,3012.88,1745.50
5,2017,1,MUMBAI,ADDIS ABABA,0,0,0.00,0.00
6,2017,2,MUMBAI,ADDIS ABABA,37718,32274,3140.36,602.14
7,2017,3,MUMBAI,ADDIS ABABA,33156,30135,3581.37,398.51
8,2017,4,MUMBAI,ADDIS ABABA,32481,37682,2881.30,501.41
9,2017,1,MUMBAI,ADEN,1543,1676,14.37,0.00
10,2017,2,MUMBAI,ADEN,1696,1713,9.44,0.00
11,2017,3,MUMBAI,ADEN,2033,2065,3.20,0.00
12,2017,4,MUMBAI,ADEN,2205,1990,9.31,0.00
13,2017,1,MUMBAI,AMSTERDAM,29094,24731,1576.40,1633.57
14,2017,2,MUMBAI,AMSTERDAM,28794,24567,1679.41,1731.71
15,2017,3,MUMBAI,AMSTERDAM,28559,27642,1678.24,1919.42
16,2017,4,MUMBAI,AMSTERDAM,31199,37602,2017.44,2185.77
17,2017,1,MUMBAI,ANTALYA,0,0,0.00,0.00
18,2017,2,MUMBAI,ANTALYA,0,0,0.00,0.00
19,2017,3,MUMBAI,ANTALYA,0,0,0.00,0.00
20,2017,4,MUMBAI,ANTALYA,0,0,0.00,0.00
21,2017,1,MUMBAI,BAHRAIN,36773,30798,847.83,25.38
22,2017,2,MUMBAI,BAHRAIN,33053,34998,963.84,49.03
23,2017,3,MUMBAI,BAHRAIN,35091,29822,906.98,39.48
24,2017,4,MUMBAI,BAHRAIN,31301,32898,919.45,32.44
25,2017,1,MUMBAI,BANGKOK,102633,100312,2202.02,4058.29
26,2017,2,MUMBAI,BANGKOK,111943,111830,1923.90,3603.52
27,2017,3,MUMBAI,BANGKOK,93498,94491,2060.00,3585.34
28,2017,4,MUMBAI,BANGKOK,104443,105601,2010.73,3703.32
29,2017,1,MUMBAI,BRUSELLS,237,465,2.15,8.77
30,2017,2,MUMBAI,BRUSELLS,14590,11657,757.49,471.02
31,2017,3,MUMBAI,BRUSELLS,13381,11983,751.06,480.70
32,2017,4,MUMBAI,BRUSELLS,10895,15153,1084.61,710.79
33,2017,1,MUMBAI,CAIRO,4966,4520,93.31,8.55
34,2017,2,MUMBAI,CAIRO,5982,5027,103.02,35.96
35,2017,3,MUMBAI,CAIRO,5138,4377,84.30,15.08
36,2017,4,MUMBAI,CAIRO,5988,5630,218.45,71.04
37,2017,1,MUMBAI,COLOGNE,0,0,1009.94,0.00
38,2017,2,MUMBAI,COLOGNE,0,0,836.77,428.95
39,2017,3,MUMBAI,COLOGNE,0,0,1249.80,0.00
40,2017,4,MUMBAI,COLOGNE,0,0,1075.11,0.00
41,2017,1,MUMBAI,COLOMBO,41963,41601,474.96,272.45
42,2017,2,MUMBAI,COLOMBO,36892,37038,458.65,347.21
43,2017,3,MUMBAI,COLOMBO,40983,37906,435.04,466.79
44,2017,4,MUMBAI,COLOMBO,45571,44773,754.20,639.20
45,2017,1,MUMBAI,DAMMAM,20701,15513,1076.45,65.28
46,2017,2,MUMBAI,DAMMAM,17765,19723,1330.43,273.24
47,2017,3,MUMBAI,DAMMAM,20005,19496,1132.60,177.69
48,2017,4,MUMBAI,DAMMAM,17444,18533,1388.84,456.88
49,2017,4,MUMBAI,DENPASAR,8588,7176,22.17,0.00
50,2017,1,MUMBAI,DHAKA,12756,13845,85.94,196.24
51,2017,2,MUMBAI,DHAKA,9233,13002,214.40,170.63
52,2017,3,MUMBAI,DHAKA,14971,12063,51.73,183.80
53,2017,4,MUMBAI,DHAKA,12729,14031,161.87,235.91
54,2017,1,MUMBAI,DOHA,56593,51463,7535.70,5326.20
55,2017,2,MUMBAI,DOHA,59449,61290,7958.87,4753.70
56,2017,3,MUMBAI,DOHA,69925,70545,7398.60,4928.09
57,2017,4,MUMBAI,DOHA,66329,70914,7180.32,4903.81
58,2017,4,MUMBAI,DON MUEANG,5598,5106,0.00,0.00
59,2017,1,MUMBAI,DUBAI,323206,282922,13634.26,4647.92
60,2017,2,MUMBAI,DUBAI,287496,289623,14165.05,4705.55
61,2017,3,MUMBAI,DUBAI,316462,275293,12136.85,4785.14
62,2017,4,MUMBAI,DUBAI,326218,331040,12023.71,4627.27
63,2017,1,MUMBAI,FRANKFURT,29992,23267,2562.85,3924.59
64,2017,2,MUMBAI,FRANKFURT,30042,27769,2443.07,4180.68
65,2017,3,MUMBAI,FRANKFURT,28968,28491,2744.22,4342.01
66,2017,4,MUMBAI,FRANKFURT,20378,26376,2748.08,4397.11
67,2017,1,MUMBAI,GUANGZHOU,0,0,342.92,0.00
68,2017,2,MUMBAI,GUANGZHOU,0,0,400.88,1192.91
69,2017,3,MUMBAI,GUANGZHOU,0,0,347.36,1068.62
70,2017,4,MUMBAI,GUANGZHOU,0,0,245.97,1157.38
71,2017,1,MUMBAI,HO CHI MINH CITY,0,0,0.00,0.00
72,2017,2,MUMBAI,HO CHI MINH CITY,0,0,0.00,0.00
73,2017,3,MUMBAI,HO CHI MINH CITY,0,0,0.00,0.00
74,2017,4,MUMBAI,HO CHI MINH CITY,0,0,0.00,0.00
75,2017,1,MUMBAI,HONG KONG,53765,45674,3564.28,5365.16
76,2017,2,MUMBAI,HONG KONG,60163,59662,4134.38,4736.60
77,2017,3,MUMBAI,HONG KONG,51727,51652,3158.29,5390.53
78,2017,4,MUMBAI,HONG KONG,58182,60714,3862.50,5806.59
79,2017,1,MUMBAI,ISTANBUL,32708,25858,1845.87,1423.12
