_id,Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
1,2024,1,MUMBAI,ABUDHABI,125920,130525,3775.88,1254.09
2,2024,2,MUMBAI,ABUDHABI,97023,124055,2369.74,3727.01
3,2024,1,MUMBAI,ADDIS ABABA,43077,29935,4541.51,1310.23
4,2024,2,MUMBAI,ADDIS ABABA,13808,9052,1066.06,366.78
5,2024,1,MUMBAI,ADEN,2306,1576,31.59,0.21
6,2024,2,MUMBAI,ADEN,1131,472,4.00,0.00
7,2024,1,MUMBAI,AMSTERDAM,25293,22547,1124.94,1176.20
8,2024,2,MUMBAI,AMSTERDAM,22515,18415,652.10,707.61
9,2024,1,MUMBAI,BAHRAIN,42101,28241,465.49,17.61
10,2024,2,MUMBAI,BAHRAIN,40705,36234,576.68,17.94
11,2024,1,MUMBAI,BANGKOK,79893,78456,1770.14,1340.89
12,2024,2,MUMBAI,BANGKOK,71758,73121,1757.33,1229.48
13,2024,1,MUMBAI,CAIRO,11190,7022,1370.64,195.32
14,2024,2,MUMBAI,CAIRO,8749,6755,2097.23,183.29
15,2024,1,MUMBAI,COLOMBO,32484,28082,552.62,343.05
16,2024,2,MUMBAI,COLOMBO,29893,24633,582.41,329.32
17,2024,1,MUMBAI,DAMMAM,47661,36110,152.22,0.00
18,2024,2,MUMBAI,DAMMAM,45529,43724,192.29,26.52
19,2024,1,MUMBAI,DAR ES SALAM,7674,6625,107.49,11.93
20,2024,2,MUMBAI,DAR ES SALAM,8999,8180,159.99,0.41
21,2024,1,MUMBAI,DHAKA,27889,26207,3.09,128.25
22,2024,2,MUMBAI,DHAKA,28901,26657,35.90,232.74
23,2024,1,MUMBAI,DOHA,89286,78585,6049.25,5672.91
24,2024,2,MUMBAI,DOHA,87154,86311,6209.77,4896.95
25,2024,1,MUMBAI,"DON MUEANG, BANGKOK ",13568,12347,32.46,96.98
26,2024,2,MUMBAI,"DON MUEANG, BANGKOK ",14436,14392,57.94,57.27
27,2024,1,MUMBAI,DUBAI,329912,300689,12482.22,4636.88
28,2024,2,MUMBAI,DUBAI,306542,299940,13426.70,5018.48
29,2024,1,MUMBAI,FRANKFURT,42633,32796,4355.16,6235.84
30,2024,2,MUMBAI,FRANKFURT,43291,34980,4841.88,6724.46
31,2024,2,MUMBAI,FUJAIRAH,337,153,0.00,0.00
32,2024,1,MUMBAI,GUANGZHOU,0,0,213.71,0.00
33,2024,2,MUMBAI,GUANGZHOU,0,0,271.91,0.00
34,2024,1,MUMBAI,HANOI,6316,5491,37.17,35.82
