_id,Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
1,2015,1,MUMBAI,ABUDHABI,80696,65961,1940.80,1118.21
2,2015,2,MUMBAI,ABUDHABI,83807,79788,2578.68,1487.49
3,2015,3,MUMBAI,ABUDHABI,86560,70306,2661.29,2017.14
4,2015,4,MUMBAI,ABUDHABI,92011,90657,48903.98,1936.51
5,2015,1,MUMBAI,ADDIS ABABA,20996,16326,2622.94,116.01
6,2015,3,MUMBAI,ADDIS ABABA,6512,7307,1195.55,31.31
7,2015,4,MUMBAI,ADDIS ABABA,0,0,0.00,0.00
8,2015,1,MUMBAI,ADEN,2199,3299,31.77,0.00
9,2015,2,MUMBAI,ADEN,0,0,0.00,0.00
10,2015,3,MUMBAI,ADEN,427,21,1.29,0.00
11,2015,4,MUMBAI,ADEN,200,0,2.21,0.00
12,2015,1,MUMBAI,AMSTERDAM,23140,22640,1978.60,950.17
13,2015,1,MUMBAI,BAHRAIN,36746,27815,821.73,446.64
14,2015,2,MUMBAI,BAHRAIN,39885,35049,1047.30,387.87
15,2015,3,MUMBAI,BAHRAIN,35790,28858,980.57,44.98
16,2015,4,MUMBAI,BAHRAIN,36521,37649,1009.86,44.25
17,2015,1,MUMBAI,BANGKOK,94099,90096,1925.73,3127.24
18,2015,2,MUMBAI,BANGKOK,90960,92270,1801.72,3202.89
19,2015,3,MUMBAI,BANGKOK,74987,71849,1666.87,3884.22
20,2015,4,MUMBAI,BANGKOK,83667,82041,1601.22,3901.13
21,2015,1,MUMBAI,BRUSELLS,13480,12256,520.58,843.96
22,2015,2,MUMBAI,BRUSELLS,12425,11014,675.07,774.95
23,2015,3,MUMBAI,BRUSELLS,12393,13356,617.09,724.56
24,2015,4,MUMBAI,BRUSELLS,11968,12546,607.99,700.50
25,2015,1,MUMBAI,CAIRO,3529,2427,31.50,29.06
26,2015,2,MUMBAI,CAIRO,4446,3365,49.28,70.70
27,2015,3,MUMBAI,CAIRO,4169,3702,20.94,2.41
28,2015,4,MUMBAI,CAIRO,3927,3785,18.73,9.63
29,2015,1,MUMBAI,COLOGNE,0,0,1230.41,37.34
30,2015,2,MUMBAI,COLOGNE,0,0,1355.06,17.86
31,2015,3,MUMBAI,COLOGNE,0,0,1186.93,0.00
32,2015,4,MUMBAI,COLOGNE,0,0,1082.38,0.00
33,2015,1,MUMBAI,COLOMBO,37469,35501,351.19,370.63
34,2015,2,MUMBAI,COLOMBO,32752,31439,308.93,346.30
35,2015,3,MUMBAI,COLOMBO,35703,35140,472.61,320.25
36,2015,4,MUMBAI,COLOMBO,36841,36243,378.85,217.48
37,2015,1,MUMBAI,DAMMAM,20836,17995,358.89,37.19
38,2015,2,MUMBAI,DAMMAM,16302,14511,220.65,23.38
39,2015,3,MUMBAI,DAMMAM,12778,12265,137.12,12.78
40,2015,4,MUMBAI,DAMMAM,14206,13197,145.42,34.97
41,2015,1,MUMBAI,DHAKA,12389,13837,133.02,200.83
42,2015,2,MUMBAI,DHAKA,8036,9119,255.07,225.31
43,2015,3,MUMBAI,DHAKA,13091,8397,112.34,240.57
44,2015,4,MUMBAI,DHAKA,10176,11021,125.70,213.42
45,2015,1,MUMBAI,DOHA,61336,49362,3917.18,2312.66
46,2015,2,MUMBAI,DOHA,61606,54555,4139.13,2970.94
47,2015,3,MUMBAI,DOHA,56631,50475,4412.02,3509.85
48,2015,4,MUMBAI,DOHA,57799,58002,5394.80,4065.23
49,2015,1,MUMBAI,DUBAI,300106,260038,13084.15,5551.64
50,2015,2,MUMBAI,DUBAI,277744,257107,13490.47,5627.66
51,2015,3,MUMBAI,DUBAI,263796,232331,11726.35,4448.21
52,2015,4,MUMBAI,DUBAI,280061,280290,11859.24,4331.98
53,2015,1,MUMBAI,FRANKFURT,27909,24734,2026.13,4208.84
54,2015,2,MUMBAI,FRANKFURT,20413,15558,2551.05,4363.61
55,2015,3,MUMBAI,FRANKFURT,30036,26954,1970.65,4574.88
56,2015,4,MUMBAI,FRANKFURT,17942,24393,5232.77,4295.48
57,2015,1,MUMBAI,GUANGZHOU,0,0,341.44,11.89
58,2015,2,MUMBAI,GUANGZHOU,0,0,300.11,0.00
59,2015,3,MUMBAI,GUANGZHOU,0,0,306.29,0.00
60,2015,4,MUMBAI,GUANGZHOU,0,0,339.85,0.00
61,2015,3,MUMBAI,HO CHI MINH CITY,1008,1680,43.41,0.43
62,2015,4,MUMBAI,HO CHI MINH CITY,1643,2267,49.42,1.74
63,2015,1,MUMBAI,HONG KONG,49294,46451,7342.59,3833.96
64,2015,2,MUMBAI,HONG KONG,64680,65113,4593.88,5875.41
65,2015,3,MUMBAI,HONG KONG,51436,53883,4315.66,5620.32
66,2015,4,MUMBAI,HONG KONG,55228,57225,5215.51,6467.38
67,2015,1,MUMBAI,ISTANBUL,28909,25242,1973.26,1130.78
68,2015,2,MUMBAI,ISTANBUL,28288,24652,2033.07,1352.73
69,2015,3,MUMBAI,ISTANBUL,28171,26629,2038.49,1271.02
70,2015,4,MUMBAI,ISTANBUL,16128,19677,851.96,849.21
71,2015,1,MUMBAI,JEDDAH,53886,53255,1040.54,258.25
72,2015,2,MUMBAI,JEDDAH,53317,46555,1852.75,279.83
73,2015,3,MUMBAI,JEDDAH,40790,37860,1149.35,31.83
74,2015,4,MUMBAI,JEDDAH,43640,47010,1158.14,26.08
75,2015,1,MUMBAI,JOHANNESBERG,11916,8483,644.18,52.62
76,2015,1,MUMBAI,KARACHI,3581,2228,95.72,15.75
77,2015,2,MUMBAI,KARACHI,3438,1836,83.67,6.05
78,2015,3,MUMBAI,KARACHI,2941,1737,71.38,1.45
79,2015,4,MUMBAI,KARACHI,2650,1943,81.68,1.37
80,2015,1,MUMBAI,KATHMANDU,25412,22835,30.62,49.60
81,2015,2,MUMBAI,KATHMANDU,9173,12720,87.29,39.56
82,2015,3,MUMBAI,KATHMANDU,6663,5920,40.58,34.48
83,2015,4,MUMBAI,KATHMANDU,10363,12641,40.37,41.54
84,2015,1,MUMBAI,KUALALUMPUR,34222,30705,1077.94,983.44
85,2015,2,MUMBAI,KUALALUMPUR,39987,41804,1145.08,1079.34
86,2015,3,MUMBAI,KUALALUMPUR,32112,32673,981.10,870.07
87,2015,4,MUMBAI,KUALALUMPUR,31948,35455,377.71,216.34
88,2015,1,MUMBAI,KUWAIT,50308,37922,1574.96,1184.48
89,2015,2,MUMBAI,KUWAIT,50148,40993,1792.93,694.76
90,2015,3,MUMBAI,KUWAIT,43844,39712,1579.49,67.23
91,2015,4,MUMBAI,KUWAIT,47037,45132,1764.19,67.35
92,2015,1,MUMBAI,LONDON,94554,83375,5999.65,4312.82
93,2015,2,MUMBAI,LONDON,117999,93260,7659.04,5266.53
94,2015,3,MUMBAI,LONDON,115865,106485,6890.89,4932.62
95,2015,4,MUMBAI,LONDON,81090,110355,6242.10,4105.09
96,2015,1,MUMBAI,MARUITIUS,10564,9846,304.90,16.46
97,2015,2,MUMBAI,MARUITIUS,14998,13542,598.60,49.76
98,2015,3,MUMBAI,MARUITIUS,9330,9577,476.79,10.49
99,2015,4,MUMBAI,MARUITIUS,12905,12663,440.90,18.00
100,2015,1,MUMBAI,MEDINA,1730,3809,2.50,0.17
101,2015,2,MUMBAI,MEDINA,1510,2702,18.48,0.10
102,2015,3,MUMBAI,MEDINA,758,1354,8.63,0.00
103,2015,4,MUMBAI,MEDINA,1115,3049,0.10,0.29
104,2015,1,MUMBAI,MUENCHEN,16445,13922,1095.08,1350.62
