_id,Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
1,2022,1,MUMBAI,ABUDHABI,36000,32602,1125.05,634.92
2,2022,2,MUMBAI,ABUDHABI,50458,49174,1572.50,723.12
3,2022,3,MUMBAI,ABUDHABI,89529,80091,2712.25,1346.41
4,2022,4,MUMBAI,ABUDHABI,90225,98131,2028.36,940.33
5,2022,2,MUMBAI,ADDIS ABABA,23329,20592,3327.76,1174.81
6,2022,3,MUMBAI,ADDIS ABABA,27421,21926,2545.28,807.05
7,2022,4,MUMBAI,ADDIS ABABA,8399,7506,644.35,299.24
8,2022,1,MUMBAI,ADEN,2147,2405,19.91,0.00
9,2022,2,MUMBAI,ADEN,2142,2233,18.73,0.00
10,2022,3,MUMBAI,ADEN,2744,2842,24.36,0.14
11,2022,4,MUMBAI,ADEN,3277,3597,31.14,0.00
12,2022,4,MUMBAI,AMMAN,0,0,0.00,0.00
13,2022,1,MUMBAI,AMSTERDAM,19509,17347,910.78,694.66
14,2022,2,MUMBAI,AMSTERDAM,25113,23811,1066.36,1066.57
15,2022,3,MUMBAI,AMSTERDAM,31355,27309,1136.40,1257.77
16,2022,4,MUMBAI,AMSTERDAM,23083,23256,1090.45,1226.74
17,2022,1,MUMBAI,BAHRAIN,5881,2622,86.72,6.77
18,2022,2,MUMBAI,BAHRAIN,24265,13827,396.88,23.28
19,2022,3,MUMBAI,BAHRAIN,39804,18666,353.73,17.40
20,2022,4,MUMBAI,BAHRAIN,39146,37289,481.05,23.44
21,2022,1,MUMBAI,BANGKOK,3467,2746,918.84,864.48
22,2022,2,MUMBAI,BANGKOK,42680,39455,1304.15,1586.70
23,2022,3,MUMBAI,BANGKOK,61760,59047,1404.62,1848.14
24,2022,4,MUMBAI,BANGKOK,77935,73193,1371.92,1584.95
25,2022,1,MUMBAI,BUCHAREST,0,219,0.60,0.00
26,2022,1,MUMBAI,CAIRO,0,0,1127.46,826.38
27,2022,2,MUMBAI,CAIRO,4289,2514,1086.82,1014.72
28,2022,3,MUMBAI,CAIRO,7281,4728,426.70,337.16
29,2022,4,MUMBAI,CAIRO,11751,12228,387.96,274.65
30,2022,1,MUMBAI,COLOMBO,16221,10724,369.38,304.42
31,2022,2,MUMBAI,COLOMBO,13555,8060,412.66,322.34
32,2022,3,MUMBAI,COLOMBO,9736,6334,431.72,279.88
33,2022,4,MUMBAI,COLOMBO,13385,12598,413.43,274.06
34,2022,1,MUMBAI,DAMMAM,22145,5481,60.36,4.96
35,2022,2,MUMBAI,DAMMAM,14613,11567,84.58,10.72
36,2022,3,MUMBAI,DAMMAM,15264,10930,51.05,0.60
37,2022,4,MUMBAI,DAMMAM,18148,13928,79.27,0.76
38,2022,1,MUMBAI,DAR ES SALAM,5526,4064,252.83,47.10
39,2022,2,MUMBAI,DAR ES SALAM,4268,3229,122.97,141.12
40,2022,3,MUMBAI,DAR ES SALAM,7983,7144,282.86,2.86
41,2022,4,MUMBAI,DAR ES SALAM,7753,9257,242.72,19.04
42,2022,1,MUMBAI,DHAKA,0,0,70.47,0.00
43,2022,2,MUMBAI,DHAKA,1847,3521,38.69,2.76
44,2022,4,MUMBAI,DHAKA,6033,9021,14.66,12.31
45,2022,1,MUMBAI,DOHA,88144,67561,6506.94,6077.07
46,2022,2,MUMBAI,DOHA,56258,50994,5317.40,5488.44
47,2022,3,MUMBAI,DOHA,64168,48914,4451.91,4825.18
48,2022,4,MUMBAI,DOHA,68203,82930,5509.96,4874.57
49,2022,2,MUMBAI,DON MUEANG,732,732,0.37,0.00
50,2022,3,MUMBAI,DON MUEANG,10552,9464,4.27,7.13
51,2022,4,MUMBAI,DON MUEANG,10151,10288,9.44,22.03
52,2022,1,MUMBAI,DUBAI,124632,111377,9590.33,5612.63
53,2022,2,MUMBAI,DUBAI,268864,251082,10665.92,6946.19
54,2022,3,MUMBAI,DUBAI,295621,248866,12609.86,6798.44
55,2022,4,MUMBAI,DUBAI,293743,317735,11356.23,5923.28
56,2022,1,MUMBAI,FRANKFURT,13607,10831,3241.26,3452.42
57,2022,2,MUMBAI,FRANKFURT,27421,25086,4571.78,4624.81
58,2022,3,MUMBAI,FRANKFURT,27580,24840,4097.69,4912.41
59,2022,4,MUMBAI,FRANKFURT,19966,7997,2740.89,4966.43
60,2022,1,MUMBAI,GUANGZHOU,0,0,332.29,0.00
61,2022,2,MUMBAI,GUANGZHOU,0,0,378.12,0.00
62,2022,3,MUMBAI,GUANGZHOU,0,0,562.41,0.00
63,2022,4,MUMBAI,GUANGZHOU,0,0,241.54,0.00
64,2022,4,MUMBAI,HANOI,0,0,620.50,0.00
65,2022,1,MUMBAI,HONG KONG,0,0,2070.25,2473.85
66,2022,2,MUMBAI,HONG KONG,1264,1541,3217.10,4406.68
67,2022,3,MUMBAI,HONG KONG,5195,3249,2560.85,2797.49
68,2022,4,MUMBAI,HONG KONG,10216,10792,3483.81,4487.60
69,2022,1,MUMBAI,ISTANBUL,773,716,1577.33,3356.33
70,2022,2,MUMBAI,ISTANBUL,31416,27077,3980.85,4978.24
71,2022,3,MUMBAI,ISTANBUL,32237,28571,2911.74,4413.96
72,2022,4,MUMBAI,ISTANBUL,25785,32943,3417.63,3158.11
73,2022,1,MUMBAI,JEDDAH,16356,8075,513.59,86.08
74,2022,2,MUMBAI,JEDDAH,47280,36445,1057.97,221.20
75,2022,3,MUMBAI,JEDDAH,72706,50465,793.57,288.43
76,2022,4,MUMBAI,JEDDAH,83535,82474,761.21,288.78
77,2022,3,MUMBAI,KABUL,0,0,47.72,0.00
78,2022,4,MUMBAI,KABUL,0,0,36.27,0.00
79,2022,1,MUMBAI,KATHMANDU,397,442,0.00,0.00
80,2022,2,MUMBAI,KATHMANDU,10414,11318,13.23,0.51
81,2022,3,MUMBAI,KATHMANDU,4212,5492,18.09,0.85
82,2022,4,MUMBAI,KATHMANDU,16050,23626,23.34,5.66
83,2022,1,MUMBAI,KIGALI,4938,4745,0.00,0.00
84,2022,2,MUMBAI,KIGALI,2968,2085,0.00,0.00
85,2022,3,MUMBAI,KIGALI,2581,2029,0.00,0.00
86,2022,4,MUMBAI,KIGALI,2213,3091,0.00,0.00
87,2022,1,MUMBAI,KUALALUMPUR,176,320,1489.84,1607.58
88,2022,2,MUMBAI,KUALALUMPUR,8835,6855,781.03,699.25
89,2022,3,MUMBAI,KUALALUMPUR,17803,13377,889.52,657.77
90,2022,4,MUMBAI,KUALALUMPUR,32533,34974,1049.17,1078.21
91,2022,1,MUMBAI,KUWAIT,26784,16033,1237.20,21.70
92,2022,2,MUMBAI,KUWAIT,36963,37297,1312.85,16.80
93,2022,3,MUMBAI,KUWAIT,48354,35570,1146.28,12.22
94,2022,4,MUMBAI,KUWAIT,46357,45858,824.62,4.75
95,2022,1,MUMBAI,LONDON,38263,32127,2358.12,1828.38
96,2022,2,MUMBAI,LONDON,65483,59860,4636.53,2985.92
97,2022,3,MUMBAI,LONDON,89934,77424,5327.83,3837.55
98,2022,4,MUMBAI,LONDON,80274,100985,5808.63,3037.41
99,2022,1,MUMBAI,LUXEMBOURG,0,0,677.09,88.48
100,2022,1,MUMBAI,MALE,20418,18478,172.24,1.84
101,2022,2,MUMBAI,MALE,27811,26813,186.26,1.88
102,2022,3,MUMBAI,MALE,26176,22398,203.76,0.73
103,2022,4,MUMBAI,MALE,37767,34900,247.10,0.73
104,2022,1,MUMBAI,MALPENSA,0,0,671.66,0.00
105,2022,2,MUMBAI,MALPENSA,0,0,666.66,0.00
106,2022,3,MUMBAI,MALPENSA,0,0,938.27,0.00
107,2022,4,MUMBAI,MALPENSA,0,0,491.45,0.00
108,2022,2,MUMBAI,MEDINA,0,1101,0.00,0.00
109,2022,3,MUMBAI,MEDINA,0,1331,0.00,0.24
110,2022,2,MUMBAI,MUENCHEN,10739,9005,584.57,578.24
111,2022,3,MUMBAI,MUENCHEN,10522,9241,507.49,493.48
112,2022,4,MUMBAI,MUENCHEN,21582,24069,865.14,1163.94
113,2022,1,MUMBAI,MUSCAT,29448,15878,1442.85,694.12
114,2022,2,MUMBAI,MUSCAT,40834,34024,1490.33,609.37
115,2022,3,MUMBAI,MUSCAT,55931,37760,1310.31,356.44
116,2022,4,MUMBAI,MUSCAT,60342,56305,836.75,250.97
117,2022,1,MUMBAI,NAIROBI,6473,6381,123.91,46.12
118,2022,2,MUMBAI,NAIROBI,14012,11552,82.11,39.32
119,2022,3,MUMBAI,NAIROBI,17793,15398,112.36,10.23
120,2022,4,MUMBAI,NAIROBI,13557,15716,94.81,12.02
121,2022,1,MUMBAI,NEWARK,24558,24172,224.42,406.08
122,2022,2,MUMBAI,NEWARK,9940,11916,191.59,193.96
123,2022,3,MUMBAI,NEWARK,10731,12359,185.31,119.33
124,2022,4,MUMBAI,NEWARK,9135,12014,165.18,168.67
125,2022,1,MUMBAI,PARIS,7775,6095,1385.33,690.72
126,2022,2,MUMBAI,PARIS,20962,17811,1899.23,973.37
127,2022,3,MUMBAI,PARIS,19521,17099,1851.38,740.10
128,2022,4,MUMBAI,PARIS,24932,25495,1944.81,1057.63
129,2022,1,MUMBAI,PHUKET,570,641,0.00,0.00
130,2022,2,MUMBAI,PHUKET,27426,20200,0.00,0.00
131,2022,3,MUMBAI,PHUKET,19575,15952,6.62,6.56
132,2022,4,MUMBAI,PHUKET,29823,25663,0.79,7.32
133,2022,1,MUMBAI,PORT LOUIS,5743,4542,1044.36,47.82
134,2022,2,MUMBAI,PORT LOUIS,17369,15415,564.24,93.46
135,2022,3,MUMBAI,PORT LOUIS,16967,15177,876.48,140.89
136,2022,4,MUMBAI,PORT LOUIS,17535,19163,785.06,67.47
137,2022,1,MUMBAI,RANGOON,0,0,32.21,0.00
138,2022,1,MUMBAI,RAS AL-KHAIMAH,12021,4964,396.00,0.00
139,2022,3,MUMBAI,RAS AL-KHAIMAH,1570,366,0.00,0.00
140,2022,4,MUMBAI,RAS AL-KHAIMAH,13751,12640,4.04,0.00
141,2022,1,MUMBAI,RIYADH,26895,9731,444.39,99.09
142,2022,2,MUMBAI,RIYADH,39923,26724,432.71,114.42
143,2022,3,MUMBAI,RIYADH,44076,23182,301.47,77.66
144,2022,4,MUMBAI,RIYADH,38872,30329,373.03,40.39
145,2022,3,MUMBAI,SALALAH,0,0,1.69,0.00
146,2022,4,MUMBAI,SAN FRANCISCO,2133,1932,4.54,47.11
147,2022,1,MUMBAI,SEYCHELLES,1607,841,0.00,0.00
148,2022,2,MUMBAI,SEYCHELLES,1118,594,12.56,1.65
149,2022,3,MUMBAI,SEYCHELLES,1369,973,20.10,0.22
150,2022,4,MUMBAI,SEYCHELLES,1915,1581,24.22,1.07
151,2022,1,MUMBAI,SHARJAH,99646,72628,1054.18,21.35
152,2022,2,MUMBAI,SHARJAH,35660,36667,504.56,10.66
153,2022,3,MUMBAI,SHARJAH,37993,32408,554.66,19.36
154,2022,4,MUMBAI,SHARJAH,33119,34259,470.43,15.28
155,2022,1,MUMBAI,SINGAPORE,23103,13053,1361.58,1984.03
156,2022,2,MUMBAI,SINGAPORE,82604,70046,2201.73,2644.62
157,2022,3,MUMBAI,SINGAPORE,97298,80436,1429.60,2261.59
158,2022,4,MUMBAI,SINGAPORE,91884,98765,2012.81,2460.18
159,2022,1,MUMBAI,TEHRAN,668,637,17.35,3.01
160,2022,2,MUMBAI,TEHRAN,1602,1262,22.45,0.47
