_id,Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
1,2020,1,MUMBAI,ABUDHABI,94941,72292,2533.00,1379.59
2,2020,2,MUMBAI,ABUDHABI,9,1143,1821.10,464.16
3,2020,3,MUMBAI,ABUDHABI,1576,3010,1457.83,829.39
4,2020,4,MUMBAI,ABUDHABI,3147,6044,1081.61,557.90
5,2020,1,MUMBAI,ADEN,3177,2919,22.12,0.00
6,2020,3,MUMBAI,ADEN,1072,51,1.29,0.00
7,2020,4,MUMBAI,ADEN,447,104,0.00,0.00
8,2020,1,MUMBAI,AMSTERDAM,12458,11541,722.64,254.22
9,2020,2,MUMBAI,AMSTERDAM,225,129,7.87,0.00
10,2020,3,MUMBAI,AMSTERDAM,4544,264,0.97,1.03
11,2020,4,MUMBAI,AMSTERDAM,3414,2310,480.98,407.01
12,2020,2,MUMBAI,AUCKLAND,195,0,3.24,1.98
13,2020,3,MUMBAI,AUCKLAND,106,0,4.83,0.00
14,2020,2,MUMBAI,Atyrau,0,157,0.00,0.00
15,2020,1,MUMBAI,BAHRAIN,22396,17431,464.53,4.43
16,2020,2,MUMBAI,BAHRAIN,170,176,221.07,1.23
17,2020,3,MUMBAI,BAHRAIN,272,464,9.22,0.00
18,2020,4,MUMBAI,BAHRAIN,2691,2642,83.69,1.18
19,2020,1,MUMBAI,BANGKOK,61586,60907,1432.01,1216.28
20,2020,2,MUMBAI,BANGKOK,0,72,121.76,28.99
21,2020,3,MUMBAI,BANGKOK,39,98,203.41,169.74
22,2020,4,MUMBAI,BANGKOK,0,0,287.93,596.45
23,2020,2,MUMBAI,BISHKEK,0,346,0.00,0.00
24,2020,3,MUMBAI,BISHKEK,0,330,0.44,0.00
25,2020,1,MUMBAI,CAIRO,6768,4647,0.00,0.00
26,2020,2,MUMBAI,CAIRO,25,86,0.00,0.00
27,2020,2,MUMBAI,CHICAGO,0,334,0.00,0.00
28,2020,4,MUMBAI,COLOGNE,0,0,68.61,0.00
29,2020,1,MUMBAI,COLOMBO,30741,30203,370.66,103.55
30,2020,2,MUMBAI,COLOMBO,1025,688,52.12,66.10
31,2020,3,MUMBAI,COLOMBO,24,465,307.63,317.77
32,2020,4,MUMBAI,COLOMBO,355,72,420.57,620.77
33,2020,1,MUMBAI,DAMMAM,1133,810,8.76,0.00
34,2020,2,MUMBAI,DAMMAM,0,178,1.38,0.00
35,2020,3,MUMBAI,DAMMAM,413,2019,31.88,0.41
36,2020,4,MUMBAI,DAMMAM,0,805,11.26,0.23
37,2020,1,MUMBAI,DHAKA,10730,12217,148.06,62.24
38,2020,2,MUMBAI,DHAKA,0,107,108.98,110.23
39,2020,3,MUMBAI,DHAKA,0,0,159.11,89.06
40,2020,4,MUMBAI,DHAKA,0,0,86.39,0.12
41,2020,1,MUMBAI,DOHA,56861,44019,6764.55,6013.14
42,2020,2,MUMBAI,DOHA,2469,4742,5633.57,2476.99
43,2020,3,MUMBAI,DOHA,9815,14132,5845.35,5167.43
44,2020,4,MUMBAI,DOHA,9917,10597,5901.97,6822.65
45,2020,1,MUMBAI,DON MUEANG,5128,5029,81.56,56.40
46,2020,1,MUMBAI,DUBAI,241902,227557,9354.28,3185.63
47,2020,2,MUMBAI,DUBAI,1,169,2074.04,635.72
48,2020,3,MUMBAI,DUBAI,32981,29908,4602.94,1791.97
49,2020,4,MUMBAI,DUBAI,93358,78764,7651.11,3815.78
50,2020,1,MUMBAI,FRANKFURT,33269,25985,3798.53,4924.74
51,2020,2,MUMBAI,FRANKFURT,3531,774,1121.74,2040.31
52,2020,3,MUMBAI,FRANKFURT,8397,3852,2460.54,3419.20
53,2020,4,MUMBAI,FRANKFURT,2980,5446,3160.38,4659.74
54,2020,3,MUMBAI,GLASGOW,117,0,0.00,0.00
55,2020,1,MUMBAI,GUANGZHOU,531,949,234.65,0.00
56,2020,2,MUMBAI,GUANGZHOU,0,0,236.18,15.89
57,2020,3,MUMBAI,GUANGZHOU,18,0,373.98,0.00
58,2020,4,MUMBAI,GUANGZHOU,0,0,562.94,0.00
59,2020,2,MUMBAI,HO CHI MINH CITY,0,64,0.00,0.00
60,2020,3,MUMBAI,HO CHI MINH CITY,0,36,0.00,0.00
61,2020,1,MUMBAI,HONG KONG,22309,17961,2973.05,2444.18
62,2020,2,MUMBAI,HONG KONG,304,84,1700.53,1261.89
63,2020,3,MUMBAI,HONG KONG,0,0,2887.64,2577.47
64,2020,4,MUMBAI,HONG KONG,374,45,2712.45,3312.92
65,2020,2,MUMBAI,IKEJA,0,280,0.00,0.00
66,2020,1,MUMBAI,ISTANBUL,26119,20573,4596.48,3721.07
67,2020,2,MUMBAI,ISTANBUL,146,0,3299.19,3512.61
68,2020,3,MUMBAI,ISTANBUL,0,0,3250.91,4347.56
69,2020,4,MUMBAI,ISTANBUL,0,0,3388.53,4268.21
70,2020,1,MUMBAI,JEDDAH,49175,45544,1933.02,101.58
71,2020,2,MUMBAI,JEDDAH,0,634,74.29,0.00
72,2020,3,MUMBAI,JEDDAH,390,71,65.91,0.00
73,2020,4,MUMBAI,JEDDAH,1,2515,102.50,0.00
74,2020,3,MUMBAI,JOHANNESBERG,9,107,1.81,0.00
75,2020,4,MUMBAI,KABUL,0,0,0.00,31.24
76,2020,2,MUMBAI,KATHMANDU,0,0,4.15,0.00
77,2020,3,MUMBAI,KATHMANDU,0,0,6.17,0.00
78,2020,4,MUMBAI,KHARTOUM,0,0,104.86,0.00
79,2020,2,MUMBAI,KIEV,0,143,0.00,0.00
80,2020,1,MUMBAI,KIGALI,2568,2377,0.00,0.00
81,2020,3,MUMBAI,KIGALI,79,103,0.00,0.00
82,2020,4,MUMBAI,KIGALI,1145,964,0.00,0.00
83,2020,1,MUMBAI,KUALALUMPUR,27948,23574,1203.98,855.88
84,2020,2,MUMBAI,KUALALUMPUR,387,502,521.96,428.91
85,2020,3,MUMBAI,KUALALUMPUR,0,246,1060.24,1032.37
86,2020,4,MUMBAI,KUALALUMPUR,52,98,1243.80,1221.89
87,2020,4,MUMBAI,KUTAISI,172,0,0.00,0.00
88,2020,1,MUMBAI,KUWAIT,36009,29537,1192.49,58.69
89,2020,2,MUMBAI,KUWAIT,0,2868,435.12,0.00
90,2020,3,MUMBAI,KUWAIT,0,1639,105.04,0.00
91,2020,4,MUMBAI,KUWAIT,0,1047,7.14,5.40
92,2020,2,MUMBAI,LAPU-LAPU,0,39,0.00,0.00
93,2020,3,MUMBAI,LAPU-LAPU,0,79,0.00,0.00
94,2020,2,MUMBAI,LIEGE,0,0,246.85,0.00
95,2020,3,MUMBAI,LIEGE,6,0,133.86,0.00
96,2020,1,MUMBAI,LONDON,85987,68604,4508.00,2838.95
97,2020,2,MUMBAI,LONDON,4644,3658,286.64,207.25
98,2020,3,MUMBAI,LONDON,13538,8201,1568.71,835.48
99,2020,4,MUMBAI,LONDON,13789,16256,1867.13,1185.23
100,2020,1,MUMBAI,MALE,10964,13281,106.76,0.00
101,2020,2,MUMBAI,MALE,0,171,0.00,0.00
102,2020,4,MUMBAI,MALE,12105,10689,9.56,0.08
103,2020,1,MUMBAI,MALPENSA,0,0,1147.47,100.52
104,2020,2,MUMBAI,MALPENSA,0,0,279.06,143.67
105,2020,3,MUMBAI,MALPENSA,19,0,760.13,551.47
106,2020,4,MUMBAI,MALPENSA,0,0,1352.16,0.00
107,2020,2,MUMBAI,MANILA,92,255,0.00,0.00
108,2020,3,MUMBAI,MANILA,43,92,0.00,0.00
109,2020,1,MUMBAI,MARUITIUS,12221,11100,497.77,26.71
110,2020,3,MUMBAI,MATTALA,164,111,0.00,0.00
111,2020,4,MUMBAI,MATTALA,61,37,0.00,0.00
112,2020,1,MUMBAI,MEDINA,1927,5417,0.00,2.19
113,2020,2,MUMBAI,MELBOURNE,0,127,0.00,0.08
114,2020,3,MUMBAI,MELBOURNE,0,55,0.00,0.00
115,2020,2,MUMBAI,MOSCOW,0,3,0.00,0.00
116,2020,1,MUMBAI,MUENCHEN,17700,15606,874.10,858.55
117,2020,1,MUMBAI,MUSCAT,60800,52977,1732.93,12.14
118,2020,2,MUMBAI,MUSCAT,92,377,93.59,0.00
119,2020,3,MUMBAI,MUSCAT,1754,3200,91.45,1.55
120,2020,4,MUMBAI,MUSCAT,6449,8575,253.89,36.56
121,2020,1,MUMBAI,NAIROBI,20941,21149,134.97,26.98
122,2020,2,MUMBAI,NAIROBI,757,207,14.69,0.00
123,2020,3,MUMBAI,NAIROBI,728,316,3.36,0.99
124,2020,4,MUMBAI,NAIROBI,4958,4184,18.54,0.12
125,2020,2,MUMBAI,NARITA,104,265,10.86,7.51
126,2020,3,MUMBAI,NARITA,182,163,4.82,8.60
127,2020,1,MUMBAI,NEW YORK,1305,795,106.50,169.00
128,2020,1,MUMBAI,NEWARK,46559,41072,338.82,318.65
129,2020,2,MUMBAI,NEWARK,2149,1854,524.51,176.40
130,2020,3,MUMBAI,NEWARK,11626,9288,842.60,289.98
131,2020,4,MUMBAI,NEWARK,12831,17293,1050.33,398.25
132,2020,1,MUMBAI,PARIS,21554,16847,695.65,57.01
133,2020,2,MUMBAI,PARIS,115,235,552.88,112.80
134,2020,3,MUMBAI,PARIS,5215,4244,845.46,79.27
135,2020,4,MUMBAI,PARIS,4439,6759,1653.74,747.77
136,2020,2,MUMBAI,PHNOM PENH,0,0,35.78,0.00
137,2020,1,MUMBAI,PHUKET,7298,6862,0.00,0.00
138,2020,2,MUMBAI,PORT LOUIS,48,187,0.00,0.00
139,2020,2,MUMBAI,RANGOON,5,67,288.22,0.00
140,2020,3,MUMBAI,RANGOON,0,0,12.70,0.05
141,2020,4,MUMBAI,RANGOON,0,0,29.11,0.00
