_id,Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
77,2018,1,MUMBAI,ISTANBUL,32655,28955,2334.16,2457.58
78,2018,2,MUMBAI,ISTANBUL,31837,29540,2944.48,2455.09
79,2018,3,MUMBAI,ISTANBUL,30074,29468,3125.07,2882.25
80,2018,4,MUMBAI,ISTANBUL,29085,34072,3443.63,3040.67
81,2018,1,MUMBAI,JEDDAH,59629,51497,2393.56,596.17
82,2018,2,MUMBAI,JEDDAH,46274,50257,1694.46,398.44
83,2018,3,MUMBAI,JEDDAH,41985,35384,2072.94,223.46
84,2018,4,MUMBAI,JEDDAH,56856,58013,2219.58,350.30
85,2018,1,MUMBAI,KATHMANDU,25154,20421,20.66,93.93
86,2018,2,MUMBAI,KATHMANDU,11938,13370,13.71,25.46
87,2018,3,MUMBAI,KATHMANDU,11470,11619,14.63,19.59
88,2018,4,MUMBAI,KATHMANDU,12971,13184,7.33,20.54
89,2018,1,MUMBAI,KIGALI,3890,2578,0.00,0.00
90,2018,2,MUMBAI,KIGALI,4228,3061,0.00,0.00
91,2018,3,MUMBAI,KIGALI,4199,3547,0.00,0.00
92,2018,4,MUMBAI,KIGALI,2825,3606,0.00,0.00
93,2018,1,MUMBAI,KUALALUMPUR,46314,42519,896.38,1085.20
94,2018,2,MUMBAI,KUALALUMPUR,38714,38561,918.67,861.34
95,2018,3,MUMBAI,KUALALUMPUR,31910,31273,903.22,1058.33
96,2018,4,MUMBAI,KUALALUMPUR,34074,35681,846.01,1207.38
97,2018,1,MUMBAI,KUWAIT,50846,46543,1982.95,544.13
98,2018,2,MUMBAI,KUWAIT,47560,46341,1820.54,416.30
99,2018,3,MUMBAI,KUWAIT,47298,41695,775.79,108.08
100,2018,4,MUMBAI,KUWAIT,43757,48153,1379.06,158.29
101,2018,1,MUMBAI,LONDON,147344,135383,8491.64,6162.71
102,2018,2,MUMBAI,LONDON,143032,121219,9612.89,6162.01
103,2018,3,MUMBAI,LONDON,140657,136070,9048.31,6144.49
104,2018,4,MUMBAI,LONDON,119926,154931,10223.51,5874.48
105,2018,1,MUMBAI,LUXEMBOURG,0,0,535.03,0.00
106,2018,4,MUMBAI,MALE,7619,7454,10.91,0.65
107,2018,1,MUMBAI,MALPENSA,0,0,0.00,528.37
108,2018,2,MUMBAI,MALPENSA,0,0,0.00,489.81
109,2018,3,MUMBAI,MALPENSA,0,0,0.00,313.07
110,2018,4,MUMBAI,MALPENSA,0,0,762.88,372.52
111,2018,4,MUMBAI,MANCHESTER,5650,9441,408.02,233.43
112,2018,1,MUMBAI,MARUITIUS,15000,13461,558.25,22.17
113,2018,2,MUMBAI,MARUITIUS,19881,20296,921.15,19.25
114,2018,3,MUMBAI,MARUITIUS,13341,13353,589.54,55.15
115,2018,4,MUMBAI,MARUITIUS,14542,15027,792.74,53.33
116,2018,1,MUMBAI,MEDINA,4163,9163,0.00,3.41
117,2018,2,MUMBAI,MEDINA,4260,8505,0.12,3.79
118,2018,3,MUMBAI,MEDINA,4911,4554,170.33,2.44
119,2018,4,MUMBAI,MEDINA,5254,7632,6.10,0.00
120,2018,1,MUMBAI,MOSCOW,0,0,0.00,0.00
121,2018,1,MUMBAI,MUENCHEN,22153,19189,1349.15,1559.10
122,2018,2,MUMBAI,MUENCHEN,21984,17450,1172.98,1313.41
123,2018,3,MUMBAI,MUENCHEN,20880,19888,1072.59,1046.33
124,2018,4,MUMBAI,MUENCHEN,14310,20446,1089.79,1009.61
125,2018,1,MUMBAI,MUSCAT,68426,59372,896.57,22.75
126,2018,2,MUMBAI,MUSCAT,68379,74769,1120.00,106.12
127,2018,3,MUMBAI,MUSCAT,79290,65805,1338.69,52.59
128,2018,4,MUMBAI,MUSCAT,76195,80360,1403.45,32.02
129,2018,1,MUMBAI,NAIROBI,26407,24465,375.59,25.02
130,2018,2,MUMBAI,NAIROBI,27987,26230,384.42,15.38
131,2018,3,MUMBAI,NAIROBI,25085,24703,128.79,17.73
132,2018,4,MUMBAI,NAIROBI,21876,24711,177.53,23.15
133,2018,1,MUMBAI,NARITA,10953,10529,0.00,0.00
134,2018,2,MUMBAI,NARITA,10494,11433,0.00,0.00
135,2018,3,MUMBAI,NARITA,10603,11362,0.00,0.00
136,2018,4,MUMBAI,NARITA,10857,11475,0.00,0.00
137,2018,1,MUMBAI,NEW YORK,2278,1121,193.72,277.65
138,2018,2,MUMBAI,NEW YORK,2044,1458,165.44,288.67
139,2018,3,MUMBAI,NEW YORK,1963,1026,67.14,282.66
140,2018,4,MUMBAI,NEW YORK,3228,5004,80.23,296.20
141,2018,1,MUMBAI,NEWARK,44411,42400,349.29,696.36
142,2018,2,MUMBAI,NEWARK,45894,41133,311.95,613.06
143,2018,3,MUMBAI,NEWARK,46701,43211,657.58,368.16
144,2018,4,MUMBAI,NEWARK,39422,51936,952.79,531.87
145,2018,1,MUMBAI,OSAKA,222,249,10.30,7.83
146,2018,2,MUMBAI,OSAKA,660,618,8.05,18.21
147,2018,3,MUMBAI,OSAKA,131,161,2.96,18.71
148,2018,4,MUMBAI,OSAKA,241,295,14.20,18.57
149,2018,1,MUMBAI,PARIS,51007,39006,2686.81,2481.35
150,2018,2,MUMBAI,PARIS,49395,35864,2841.25,4602.25
151,2018,3,MUMBAI,PARIS,52372,42565,2573.17,2216.35
152,2018,4,MUMBAI,PARIS,43514,48949,3338.17,2449.88
153,2018,4,MUMBAI,PHUKET,6720,4751,0.94,0.64
154,2018,1,MUMBAI,RIYADH,42387,35917,1172.22,137.45
155,2018,2,MUMBAI,RIYADH,35703,42274,1336.16,118.73
156,2018,3,MUMBAI,RIYADH,40884,36947,1034.43,87.34
157,2018,4,MUMBAI,RIYADH,32086,31865,1275.10,72.86
158,2018,1,MUMBAI,SEOUL,7102,6181,168.84,528.64
159,2018,2,MUMBAI,SEOUL,7088,6327,249.43,280.27
160,2018,3,MUMBAI,SEOUL,6283,6790,293.66,186.70
161,2018,4,MUMBAI,SEOUL,6281,7322,264.38,186.32
162,2018,1,MUMBAI,SEYCHELLES,4979,4733,29.10,18.02
163,2018,2,MUMBAI,SEYCHELLES,7143,6417,59.88,26.94
164,2018,3,MUMBAI,SEYCHELLES,6453,5311,69.91,1.13
165,2018,4,MUMBAI,SEYCHELLES,5546,5995,86.50,1.04
166,2018,1,MUMBAI,SHANGHAI,2396,2726,67.50,337.74
167,2018,2,MUMBAI,SHANGHAI,2749,3297,87.90,336.96
168,2018,3,MUMBAI,SHANGHAI,1893,2756,182.16,451.68
169,2018,4,MUMBAI,SHANGHAI,2338,3256,184.54,447.24
170,2018,1,MUMBAI,SHARJAH,41730,35302,596.10,150.79
171,2018,2,MUMBAI,SHARJAH,38908,37812,628.65,119.58
172,2018,3,MUMBAI,SHARJAH,41379,34845,690.07,80.60
173,2018,4,MUMBAI,SHARJAH,41408,39039,731.32,55.45
174,2018,1,MUMBAI,SINGAPORE,123529,105537,5051.25,5290.40
175,2018,2,MUMBAI,SINGAPORE,127934,120691,5495.60,5520.07
176,2018,3,MUMBAI,SINGAPORE,108127,99768,5832.81,6089.46
177,2018,4,MUMBAI,SINGAPORE,108215,112002,3864.59,3853.95
178,2018,1,MUMBAI,TAIPAE,0,0,0.00,351.25
179,2018,2,MUMBAI,TAIPAE,0,0,0.00,30.82
180,2018,3,MUMBAI,TAIPAE,0,0,0.00,35.65
181,2018,4,MUMBAI,TAIPAE,0,0,0.00,47.47
182,2018,1,MUMBAI,TANGERANG,3908,4106,65.77,15.24
183,2018,4,MUMBAI,TASHKENT,992,1144,57.23,0.00
184,2018,1,MUMBAI,TEHRAN,3489,4026,32.58,2.21
185,2018,2,MUMBAI,TEHRAN,2899,2941,51.04,10.04
186,2018,3,MUMBAI,TEHRAN,2584,2997,30.99,37.32
187,2018,4,MUMBAI,TEHRAN,4002,4699,77.51,63.93
188,2018,1,MUMBAI,TELAVIV,9608,8803,392.61,282.13
189,2018,2,MUMBAI,TELAVIV,6082,5175,297.92,221.73
190,2018,3,MUMBAI,TELAVIV,6962,6927,441.42,285.92
191,2018,4,MUMBAI,TELAVIV,6974,7297,503.87,211.50
192,2018,1,MUMBAI,TORONTO,13860,12265,296.04,384.43
193,2018,2,MUMBAI,TORONTO,8929,6514,90.79,233.43
194,2018,3,MUMBAI,TORONTO,0,0,0.00,0.00
195,2018,4,MUMBAI,TORONTO,8394,11361,485.46,227.75
196,2018,1,MUMBAI,ZURICH,19053,13867,1474.62,1391.74
197,2018,2,MUMBAI,ZURICH,20203,15654,1690.70,1433.78
198,2018,3,MUMBAI,ZURICH,19919,16893,1612.67,1390.96
199,2018,4,MUMBAI,ZURICH,16065,18659,1558.93,1228.64
