_id,Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
1,2023,1,MUMBAI,ABUDHABI,105137,90705,2252.55,703.61
2,2023,2,MUMBAI,ABUDHABI,82145,77257,1830.47,785.60
3,2023,3,MUMBAI,ABUDHABI,60719,47118,199.63,2.37
4,2023,4,MUMBAI,ABUDHABI,51403,48492,169.13,3.02
5,2023,1,MUMBAI,ADDIS ABABA,37675,25470,2055.08,500.54
6,2023,2,MUMBAI,ADDIS ABABA,23314,16892,1831.39,222.74
7,2023,3,MUMBAI,ADDIS ABABA,33715,26739,1689.10,254.47
8,2023,4,MUMBAI,ADDIS ABABA,33687,37759,1786.29,729.07
9,2023,1,MUMBAI,ADEN,3361,3104,24.77,0.00
10,2023,2,MUMBAI,ADEN,2807,2735,28.84,0.14
11,2023,3,MUMBAI,ADEN,3486,3365,26.76,0.00
12,2023,4,MUMBAI,ADEN,2538,1906,34.17,0.00
13,2023,1,MUMBAI,AMSTERDAM,27624,23188,1110.42,948.67
14,2023,2,MUMBAI,AMSTERDAM,21313,17746,789.03,727.09
15,2023,3,MUMBAI,AMSTERDAM,21138,16470,836.57,869.90
16,2023,4,MUMBAI,AMSTERDAM,25267,25734,1337.68,996.80
17,2023,1,MUMBAI,BAHRAIN,42599,27491,461.71,17.69
18,2023,2,MUMBAI,BAHRAIN,35889,32041,525.92,15.28
19,2023,3,MUMBAI,BAHRAIN,41180,23547,415.94,26.09
20,2023,4,MUMBAI,BAHRAIN,38666,37557,521.46,12.93
21,2023,1,MUMBAI,BANGKOK,71124,63317,1718.70,1551.54
22,2023,2,MUMBAI,BANGKOK,74036,70925,1901.04,1539.19
23,2023,3,MUMBAI,BANGKOK,65862,62129,1555.18,1353.92
24,2023,4,MUMBAI,BANGKOK,81197,81479,1884.20,1658.33
25,2023,1,MUMBAI,CAIRO,12733,9076,526.53,336.52
26,2023,2,MUMBAI,CAIRO,8660,6211,786.61,229.14
27,2023,3,MUMBAI,CAIRO,9943,7042,1094.60,161.76
28,2023,4,MUMBAI,CAIRO,11490,10937,1068.84,366.67
29,2023,1,MUMBAI,COLOMBO,16141,14904,386.81,213.84
30,2023,2,MUMBAI,COLOMBO,18552,17346,411.15,256.15
31,2023,3,MUMBAI,COLOMBO,21538,20508,380.03,250.30
32,2023,4,MUMBAI,COLOMBO,24988,23804,561.59,299.71
33,2023,1,MUMBAI,DAMMAM,29094,15347,171.74,0.28
34,2023,2,MUMBAI,DAMMAM,27307,26587,95.84,4.54
35,2023,3,MUMBAI,DAMMAM,31031,20944,67.47,0.00
36,2023,4,MUMBAI,DAMMAM,34721,31290,88.04,0.00
37,2023,1,MUMBAI,DAR ES SALAM,9329,7503,284.16,149.19
38,2023,2,MUMBAI,DAR ES SALAM,8867,7793,231.99,25.08
39,2023,3,MUMBAI,DAR ES SALAM,10624,9371,358.86,0.35
40,2023,4,MUMBAI,DAR ES SALAM,5594,7058,60.68,1.94
41,2023,1,MUMBAI,DHAKA,11319,15844,72.31,21.18
42,2023,2,MUMBAI,DHAKA,16880,21444,77.47,45.92
43,2023,3,MUMBAI,DHAKA,20801,32765,27.31,117.67
44,2023,4,MUMBAI,DHAKA,22251,33075,24.91,148.74
45,2023,1,MUMBAI,DOHA,84461,72363,7530.24,5710.55
46,2023,2,MUMBAI,DOHA,74277,70472,7949.03,5422.90
47,2023,3,MUMBAI,DOHA,78239,71317,5954.69,5218.53
48,2023,4,MUMBAI,DOHA,74468,82257,5258.05,5293.58
49,2023,1,MUMBAI,DON MUEANG,7281,6872,29.43,92.23
50,2023,2,MUMBAI,"DON MUEANG, BANGKOK ",12589,10955,28.56,106.15
51,2023,3,MUMBAI,"DON MUEANG, BANGKOK ",12410,11820,14.57,181.92
52,2023,4,MUMBAI,"DON MUEANG, BANGKOK ",7904,7403,11.53,89.31
53,2023,1,MUMBAI,DUBAI,338533,300442,11188.30,5270.71
54,2023,2,MUMBAI,DUBAI,300681,286445,12605.54,5382.42
55,2023,3,MUMBAI,DUBAI,325218,273485,9435.16,4761.76
56,2023,4,MUMBAI,DUBAI,307865,322375,11578.34,4041.87
57,2023,1,MUMBAI,FRANKFURT,22338,17149,2486.04,5136.13
58,2023,2,MUMBAI,FRANKFURT,21515,18475,2602.81,3473.71
59,2023,3,MUMBAI,FRANKFURT,20569,16923,2330.43,4092.88
60,2023,4,MUMBAI,FRANKFURT,27220,33950,3808.64,5158.01
61,2023,1,MUMBAI,GUANGZHOU,0,0,244.65,0.00
62,2023,2,MUMBAI,GUANGZHOU,0,0,252.03,0.00
63,2023,3,MUMBAI,GUANGZHOU,0,0,213.71,0.00
64,2023,4,MUMBAI,GUANGZHOU,0,0,326.83,0.00
65,2023,1,MUMBAI,HANOI,0,0,701.99,0.00
66,2023,2,MUMBAI,HANOI,11406,11404,1193.01,44.60
67,2023,3,MUMBAI,HANOI,6872,5434,372.21,36.17
68,2023,4,MUMBAI,HANOI,7203,7361,30.50,51.20
69,2023,2,MUMBAI,HO CHI MINH CITY,16291,18937,80.83,141.18
70,2023,3,MUMBAI,HO CHI MINH CITY,13218,12833,158.72,323.72
71,2023,4,MUMBAI,HO CHI MINH CITY,13347,14088,209.25,437.18
72,2023,1,MUMBAI,HONG KONG,20791,11444,3679.12,4979.90
73,2023,2,MUMBAI,HONG KONG,29980,27614,3255.05,5527.72
74,2023,3,MUMBAI,HONG KONG,26743,25368,3125.36,5160.72
75,2023,4,MUMBAI,HONG KONG,34589,34949,3771.61,4952.39
76,2023,1,MUMBAI,ISTANBUL,48101,42532,2235.70,2333.68
77,2023,2,MUMBAI,ISTANBUL,49913,45284,3119.72,3181.86
78,2023,3,MUMBAI,ISTANBUL,59598,61174,3397.40,3531.46
79,2023,4,MUMBAI,ISTANBUL,44853,71439,3441.99,3581.78
80,2023,1,MUMBAI,JEDDAH,92139,72296,1609.32,280.09
81,2023,2,MUMBAI,JEDDAH,63472,70396,1134.79,230.63
82,2023,3,MUMBAI,JEDDAH,78189,62645,1207.69,84.07
83,2023,4,MUMBAI,JEDDAH,79651,84803,1649.18,206.97
84,2023,1,MUMBAI,KABUL,0,0,50.25,0.00
85,2023,2,MUMBAI,KABUL,3,3,159.76,147.02
86,2023,3,MUMBAI,KABUL,0,0,24.30,0.00
87,2023,1,MUMBAI,KATHMANDU,23500,25765,33.19,1.06
88,2023,2,MUMBAI,KATHMANDU,24195,26787,24.48,1.86
89,2023,3,MUMBAI,KATHMANDU,16299,17130,27.93,0.00
90,2023,4,MUMBAI,KATHMANDU,19581,18851,32.20,0.48
91,2023,1,MUMBAI,KIGALI,2376,1676,0.00,0.00
92,2023,2,MUMBAI,KIGALI,2058,1923,52.38,0.00
93,2023,3,MUMBAI,KIGALI,2232,1928,33.54,0.00
94,2023,4,MUMBAI,KIGALI,1856,2354,56.18,0.00
95,2023,1,MUMBAI,KUALALUMPUR,39309,27115,757.47,820.43
96,2023,2,MUMBAI,KUALALUMPUR,35560,29893,1188.10,1085.30
97,2023,3,MUMBAI,KUALALUMPUR,33796,30400,927.21,853.73
98,2023,4,MUMBAI,KUALALUMPUR,33740,33632,813.83,899.26
99,2023,1,MUMBAI,KUWAIT,51281,34530,713.20,4.59
100,2023,2,MUMBAI,KUWAIT,45008,46370,989.14,10.37
101,2023,3,MUMBAI,KUWAIT,52280,38677,1138.67,8.60
102,2023,4,MUMBAI,KUWAIT,40895,47665,1115.89,6.71
103,2023,1,MUMBAI,LONDON,116011,91928,5862.18,3526.46
104,2023,2,MUMBAI,LONDON,116339,99244,6072.72,3192.40
