_id,Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
1,2019,1,MUMBAI,ABUDHABI,87514,71050,2220.18,1302.09
2,2019,2,MUMBAI,ABUDHABI,90621,92740,3253.73,1473.12
3,2019,3,MUMBAI,ABUDHABI,110801,94694,2097.91,1271.57
4,2019,4,MUMBAI,ABUDHABI,93732,109960,2731.15,1051.73
5,2019,1,MUMBAI,ADDIS ABABA,49633,37424,4085.18,547.62
6,2019,2,MUMBAI,ADDIS ABABA,16356,17652,1176.55,236.04
7,2019,1,MUMBAI,ADEN,2663,2808,8.38,0.00
8,2019,2,MUMBAI,ADEN,3076,2499,9.23,0.00
9,2019,3,MUMBAI,ADEN,3084,2948,9.80,0.00
10,2019,4,MUMBAI,ADEN,3231,3523,24.76,0.00
11,2019,1,MUMBAI,AMSTERDAM,44322,37251,2590.41,2218.17
12,2019,2,MUMBAI,AMSTERDAM,14843,12981,815.78,685.17
13,2019,3,MUMBAI,AMSTERDAM,11641,11129,773.21,545.87
14,2019,4,MUMBAI,AMSTERDAM,22208,23045,1543.11,1031.44
15,2019,1,MUMBAI,BAHRAIN,34627,29672,671.06,22.91
16,2019,2,MUMBAI,BAHRAIN,29222,29180,592.63,44.14
17,2019,3,MUMBAI,BAHRAIN,26805,21939,400.73,15.00
18,2019,4,MUMBAI,BAHRAIN,27426,28581,630.52,7.09
19,2019,1,MUMBAI,BANGKOK,95163,93352,2208.54,3306.76
20,2019,2,MUMBAI,BANGKOK,85475,84249,2102.01,3670.43
21,2019,3,MUMBAI,BANGKOK,84250,84523,3054.72,2691.35
22,2019,4,MUMBAI,BANGKOK,103357,101290,1907.08,1882.76
23,2019,3,MUMBAI,BIRMINGHAM,100,119,0.00,0.00
24,2019,1,MUMBAI,BRUSELLS,1430,669,0.00,0.00
25,2019,1,MUMBAI,CAIRO,7940,7351,35.09,6.81
26,2019,2,MUMBAI,CAIRO,6909,7848,44.55,83.91
27,2019,3,MUMBAI,CAIRO,7078,5957,17.36,1.83
28,2019,4,MUMBAI,CAIRO,9950,10892,0.00,0.00
29,2019,3,MUMBAI,CHITTAGONG,5168,4882,43.78,2.75
30,2019,1,MUMBAI,COLOGNE,0,0,1311.41,0.00
31,2019,2,MUMBAI,COLOGNE,0,0,1406.29,0.00
32,2019,3,MUMBAI,COLOGNE,0,0,437.90,0.00
33,2019,1,MUMBAI,COLOMBO,47008,42957,717.25,480.10
34,2019,2,MUMBAI,COLOMBO,27345,24946,439.15,155.83
35,2019,3,MUMBAI,COLOMBO,23775,22127,406.72,86.83
36,2019,4,MUMBAI,COLOMBO,31603,30205,415.60,86.42
37,2019,1,MUMBAI,DAMMAM,16532,14506,209.55,19.75
38,2019,1,MUMBAI,DENPASAR,2904,2090,191.19,147.91
39,2019,1,MUMBAI,DHAKA,13605,13144,43.44,22.07
40,2019,3,MUMBAI,DHAKA,14767,15983,227.80,40.09
41,2019,4,MUMBAI,DHAKA,10328,15117,331.24,86.13
42,2019,1,MUMBAI,DOHA,75029,63628,6021.12,5264.00
43,2019,2,MUMBAI,DOHA,52494,53514,7935.66,6465.63
44,2019,3,MUMBAI,DOHA,65689,62381,5898.66,5115.64
45,2019,4,MUMBAI,DOHA,61809,63608,6689.76,5497.64
46,2019,1,MUMBAI,DON MUEANG,7378,7137,29.85,83.30
47,2019,2,MUMBAI,DON MUEANG,11055,11823,88.71,74.92
