_id,Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
1,2021,1,MUMBAI,ABUDHABI,5761,8796,1764.66,1065.14
2,2021,2,MUMBAI,ABUDHABI,1715,5563,1222.84,604.96
3,2021,3,MUMBAI,ABUDHABI,7764,9689,642.88,399.81
4,2021,4,MUMBAI,ABUDHABI,25339,25865,1071.39,602.95
5,2021,3,MUMBAI,ADDIS ABABA,2774,2453,0.00,0.00
6,2021,1,MUMBAI,ADEN,622,738,5.66,0.00
7,2021,2,MUMBAI,ADEN,546,386,4.32,0.00
8,2021,3,MUMBAI,ADEN,879,367,5.07,0.00
9,2021,4,MUMBAI,ADEN,1255,1617,14.66,0.27
10,2021,3,MUMBAI,AMMAN,219,0,0.00,0.00
11,2021,1,MUMBAI,AMSTERDAM,8470,3762,1179.67,905.74
12,2021,2,MUMBAI,AMSTERDAM,8099,2196,1360.44,1151.35
13,2021,3,MUMBAI,AMSTERDAM,12351,5975,1073.72,978.74
14,2021,4,MUMBAI,AMSTERDAM,13334,13152,885.40,719.45
15,2021,1,MUMBAI,BAHRAIN,2540,1313,83.37,2.70
16,2021,2,MUMBAI,BAHRAIN,3410,757,96.28,4.39
17,2021,3,MUMBAI,BAHRAIN,4920,1847,93.87,3.31
18,2021,4,MUMBAI,BAHRAIN,5877,3392,91.08,5.93
19,2021,1,MUMBAI,BANGKOK,0,0,1017.98,1462.32
20,2021,2,MUMBAI,BANGKOK,0,0,613.82,672.30
21,2021,3,MUMBAI,BANGKOK,0,0,531.73,824.97
22,2021,4,MUMBAI,BANGKOK,524,621,766.66,1087.85
23,2021,1,MUMBAI,BRUSELLS,0,0,78.93,0.00
24,2021,2,MUMBAI,BRUSELLS,0,0,390.32,100.84
25,2021,3,MUMBAI,BRUSELLS,0,0,141.16,33.19
26,2021,2,MUMBAI,CAIRO,44,0,1172.96,580.85
27,2021,3,MUMBAI,CAIRO,0,0,1283.84,368.70
28,2021,4,MUMBAI,CAIRO,0,0,456.31,337.21
29,2021,2,MUMBAI,CHICAGO,0,0,0.07,0.00
30,2021,1,MUMBAI,COLOMBO,323,339,424.85,808.70
31,2021,2,MUMBAI,COLOMBO,280,178,488.99,846.55
32,2021,3,MUMBAI,COLOMBO,465,2183,493.74,706.75
33,2021,4,MUMBAI,COLOMBO,12799,11550,547.08,488.20
34,2021,1,MUMBAI,DAMMAM,0,1811,23.89,0.00
35,2021,2,MUMBAI,DAMMAM,0,515,7.44,0.00
36,2021,3,MUMBAI,DAMMAM,278,665,47.72,0.00
37,2021,4,MUMBAI,DAMMAM,4628,777,32.24,0.09
38,2021,1,MUMBAI,DHAKA,0,0,209.28,10.83
39,2021,2,MUMBAI,DHAKA,0,0,150.55,104.97
40,2021,3,MUMBAI,DHAKA,0,0,323.61,134.53
41,2021,4,MUMBAI,DHAKA,0,0,68.33,0.00
42,2021,1,MUMBAI,DOHA,18853,13031,6839.11,7932.74
43,2021,2,MUMBAI,DOHA,27183,13813,7600.05,6818.11
44,2021,3,MUMBAI,DOHA,68801,37068,5426.13,6986.03
45,2021,4,MUMBAI,DOHA,80755,74501,5706.14,5754.69
46,2021,1,MUMBAI,DUBAI,103158,61545,8490.82,4998.86
47,2021,2,MUMBAI,DUBAI,24681,30860,12557.48,4746.18
48,2021,3,MUMBAI,DUBAI,55943,49733,15314.30,4912.67
49,2021,4,MUMBAI,DUBAI,107412,99947,12520.59,5634.42
50,2021,3,MUMBAI,DUSSELDORF,0,0,0.00,147.42
51,2021,1,MUMBAI,FRANKFURT,7572,3049,2926.62,4223.72
52,2021,2,MUMBAI,FRANKFURT,6125,1482,1928.52,4704.90
53,2021,3,MUMBAI,FRANKFURT,15122,6531,1139.27,4409.76
54,2021,4,MUMBAI,FRANKFURT,10624,10916,1681.07,3979.03
55,2021,3,MUMBAI,GLASGOW,119,0,0.00,0.00
56,2021,1,MUMBAI,GUANGZHOU,0,0,392.12,0.00
57,2021,2,MUMBAI,GUANGZHOU,0,0,578.78,0.00
58,2021,3,MUMBAI,GUANGZHOU,0,0,387.79,0.00
59,2021,4,MUMBAI,GUANGZHOU,0,0,289.75,0.00
60,2021,1,MUMBAI,HANOI,0,0,1.11,0.00
61,2021,4,MUMBAI,HANOI,0,0,25.51,0.00
62,2021,1,MUMBAI,HONG KONG,381,0,2575.57,2940.39
63,2021,2,MUMBAI,HONG KONG,113,0,2847.69,3674.28
64,2021,3,MUMBAI,HONG KONG,0,0,2834.50,3868.47
65,2021,4,MUMBAI,HONG KONG,223,0,2802.00,3668.14
66,2021,2,MUMBAI,HOUSTON,328,0,0.00,0.00
67,2021,1,MUMBAI,IKEJA,0,0,204.27,0.00
68,2021,2,MUMBAI,IKEJA,0,0,466.61,0.00
69,2021,3,MUMBAI,IKEJA,0,0,534.63,6.60
70,2021,1,MUMBAI,ISTANBUL,0,0,3974.62,4941.34
71,2021,2,MUMBAI,ISTANBUL,0,0,4023.66,5411.55
72,2021,3,MUMBAI,ISTANBUL,168,0,4037.82,3943.35
73,2021,4,MUMBAI,ISTANBUL,0,0,4047.15,4366.06
74,2021,1,MUMBAI,JEDDAH,386,9549,97.45,10.00
75,2021,2,MUMBAI,JEDDAH,1074,489,42.33,0.00
76,2021,3,MUMBAI,JEDDAH,2473,1129,45.78,0.06
77,2021,4,MUMBAI,JEDDAH,7584,947,17.73,0.10
78,2021,1,MUMBAI,JOHANNESBERG,0,0,144.11,31.34
79,2021,2,MUMBAI,JOHANNESBERG,0,0,37.09,0.00
80,2021,3,MUMBAI,JOHANNESBERG,0,0,36.46,0.00
81,2021,4,MUMBAI,KATHMANDU,93,82,0.00,0.00
82,2021,1,MUMBAI,KHARTOUM,0,0,163.43,0.00
83,2021,1,MUMBAI,KIGALI,1061,807,0.00,0.00
84,2021,3,MUMBAI,KIGALI,442,289,0.00,0.00
85,2021,4,MUMBAI,KIGALI,5226,5071,0.00,0.00
86,2021,1,MUMBAI,KUALALUMPUR,26,292,1033.61,1351.54
87,2021,2,MUMBAI,KUALALUMPUR,0,0,1242.09,1867.82
88,2021,3,MUMBAI,KUALALUMPUR,0,0,1420.63,1779.53
89,2021,4,MUMBAI,KUALALUMPUR,0,0,1352.87,2261.14
90,2021,1,MUMBAI,KUWAIT,349,1042,464.34,2.80
91,2021,2,MUMBAI,KUWAIT,297,1909,936.45,4.28
92,2021,3,MUMBAI,KUWAIT,2516,5165,898.57,2.63
93,2021,4,MUMBAI,KUWAIT,24446,25074,1281.84,8.92
94,2021,4,MUMBAI,Kaunas,0,0,37.40,0.00
95,2021,1,MUMBAI,LONDON,25328,21056,2276.04,1884.07
96,2021,2,MUMBAI,LONDON,21172,7594,2946.07,2380.41
97,2021,3,MUMBAI,LONDON,33270,17181,3607.75,2641.85
98,2021,4,MUMBAI,LONDON,30480,28798,2570.03,1616.22
99,2021,1,MUMBAI,LUXEMBOURG,0,0,303.11,180.65
100,2021,2,MUMBAI,LUXEMBOURG,0,0,226.82,86.72
101,2021,4,MUMBAI,LUXEMBOURG,0,0,77.95,16.23
102,2021,1,MUMBAI,MALE,26883,23892,89.29,0.07
103,2021,2,MUMBAI,MALE,4196,3661,28.38,0.00
104,2021,3,MUMBAI,MALE,38498,18077,56.65,1.34
105,2021,4,MUMBAI,MALE,31774,29184,98.78,0.20
106,2021,1,MUMBAI,MALPENSA,0,0,708.09,0.00
107,2021,2,MUMBAI,MALPENSA,0,0,297.67,0.00
108,2021,4,MUMBAI,MALPENSA,0,0,700.27,0.00
109,2021,1,MUMBAI,MATTALA,115,33,0.00,0.00
110,2021,2,MUMBAI,MIAMI,512,0,0.00,0.00
111,2021,3,MUMBAI,MIAMI,295,0,0.00,0.00
112,2021,1,MUMBAI,MOSCOW,0,0,34.40,0.00
113,2021,1,MUMBAI,MUSCAT,15003,9683,581.48,169.24
114,2021,2,MUMBAI,MUSCAT,5140,6304,991.76,203.46
115,2021,3,MUMBAI,MUSCAT,8073,7216,1062.30,447.62
116,2021,4,MUMBAI,MUSCAT,25438,20586,1656.42,892.00
117,2021,1,MUMBAI,NAIROBI,6257,5231,28.23,0.78
118,2021,2,MUMBAI,NAIROBI,2500,1324,58.78,0.37
119,2021,3,MUMBAI,NAIROBI,1988,1465,26.27,1.76
120,2021,4,MUMBAI,NAIROBI,6574,6451,65.04,0.06
121,2021,1,MUMBAI,NEWARK,18173,21018,737.35,244.27
122,2021,2,MUMBAI,NEWARK,18995,12465,1181.77,820.95
123,2021,3,MUMBAI,NEWARK,22839,18758,587.15,172.54
124,2021,4,MUMBAI,NEWARK,26357,30179,567.08,294.28
125,2021,2,MUMBAI,Nanjing,0,0,0.00,47.02
126,2021,3,MUMBAI,OSH,140,0,0.00,0.00
127,2021,4,MUMBAI,OSH,276,0,0.00,0.00
128,2021,3,MUMBAI,OSTEND,0,0,74.07,13.66
129,2021,1,MUMBAI,PARIS,7704,3808,1783.43,753.89
130,2021,2,MUMBAI,PARIS,6856,1470,1626.76,1045.72
131,2021,3,MUMBAI,PARIS,7938,3132,1549.26,586.18
132,2021,4,MUMBAI,PARIS,6917,6889,1689.41,610.70
133,2021,3,MUMBAI,PHUKET,0,0,0.00,0.41
134,2021,1,MUMBAI,PORT LOUIS,343,616,595.71,3.03
135,2021,2,MUMBAI,PORT LOUIS,548,493,618.30,7.47
136,2021,3,MUMBAI,PORT LOUIS,1220,400,869.03,4.24
137,2021,4,MUMBAI,PORT LOUIS,3468,3333,611.44,30.44
138,2021,1,MUMBAI,RANGOON,0,0,19.30,0.00
139,2021,2,MUMBAI,RANGOON,0,0,0.00,0.12
140,2021,4,MUMBAI,RANGOON,0,0,39.07,0.00
141,2021,1,MUMBAI,RAS AL-KHAIMAH,1915,0,1631.67,0.00
142,2021,2,MUMBAI,RAS AL-KHAIMAH,0,0,893.94,0.00
143,2021,3,MUMBAI,RAS AL-KHAIMAH,462,0,792.00,0.00
144,2021,4,MUMBAI,RAS AL-KHAIMAH,13127,6014,264.00,0.00
145,2021,1,MUMBAI,RIYADH,0,2831,40.87,0.25
146,2021,2,MUMBAI,RIYADH,2,1092,33.30,0.25
147,2021,3,MUMBAI,RIYADH,474,2104,37.32,0.75
148,2021,4,MUMBAI,RIYADH,3616,2036,27.97,0.88
149,2021,1,MUMBAI,SEOUL,0,0,0.18,0.00
150,2021,2,MUMBAI,SEOUL,138,0,0.00,0.00
151,2021,1,MUMBAI,SEYCHELLES,59,66,0.00,0.00
152,2021,2,MUMBAI,SEYCHELLES,348,148,0.52,0.06
153,2021,3,MUMBAI,SEYCHELLES,2239,505,0.00,0.00
154,2021,4,MUMBAI,SEYCHELLES,1916,1164,0.00,0.00
155,2021,1,MUMBAI,SHARJAH,21242,11212,382.48,13.63
156,2021,2,MUMBAI,SHARJAH,5882,4216,79.68,15.38
157,2021,3,MUMBAI,SHARJAH,20651,5982,286.81,19.14
158,2021,4,MUMBAI,SHARJAH,98142,75034,940.96,9.45
159,2021,1,MUMBAI,SINGAPORE,1125,1167,42.72,97.04
160,2021,2,MUMBAI,SINGAPORE,375,815,56.16,120.57
161,2021,3,MUMBAI,SINGAPORE,236,779,61.57,51.78
162,2021,4,MUMBAI,SINGAPORE,10472,7778,439.38,696.86
163,2021,2,MUMBAI,Seattle,178,0,0.00,0.00
164,2021,1,MUMBAI,TAIPAE,0,0,424.81,700.46
165,2021,2,MUMBAI,TAIPAE,0,0,89.90,229.63
166,2021,2,MUMBAI,TASHKENT,0,0,82.24,0.00
167,2021,4,MUMBAI,TBILISI,179,2,0.00,0.00
168,2021,1,MUMBAI,TEHRAN,582,232,25.59,1.73
169,2021,2,MUMBAI,TEHRAN,186,82,50.62,78.70
170,2021,3,MUMBAI,TEHRAN,333,118,83.44,16.32
171,2021,4,MUMBAI,TEHRAN,646,400,17.14,1.33
172,2021,1,MUMBAI,TELAVIV,107,0,49.00,18.48
173,2021,2,MUMBAI,TELAVIV,0,0,0.00,11.82
174,2021,3,MUMBAI,TELAVIV,0,0,616.74,74.33
175,2021,4,MUMBAI,TELAVIV,0,0,337.33,115.38
