_id,Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
1,2016,1,MUMBAI,ABUDHABI,101925,161740,2663.80,1639.66
2,2016,2,MUMBAI,ABUDHABI,110541,93621,2275.68,777.33
3,2016,3,MUMBAI,ABUDHABI,110615,90785,2249.50,1696.86
4,2016,4,MUMBAI,ABUDHABI,100114,109660,3486.51,1763.91
5,2016,1,MUMBAI,ADDIS ABABA,7922,7699,1182.74,177.49
6,2016,2,MUMBAI,ADDIS ABABA,31010,27725,3528.53,310.54
7,2016,3,MUMBAI,ADDIS ABABA,23382,23790,1636.91,242.57
8,2016,4,MUMBAI,ADDIS ABABA,22402,26132,1799.71,359.55
9,2016,1,MUMBAI,ADEN,0,0,0.00,0.00
10,2016,2,MUMBAI,ADEN,153,16,0.36,0.00
11,2016,3,MUMBAI,ADEN,430,219,2.78,0.00
12,2016,4,MUMBAI,ADEN,1268,1111,3.88,0.00
13,2016,1,MUMBAI,AMSTERDAM,1334,1019,29.22,125.15
14,2016,2,MUMBAI,AMSTERDAM,24157,20400,732.06,953.07
15,2016,3,MUMBAI,AMSTERDAM,24527,23507,842.20,971.24
16,2016,4,MUMBAI,AMSTERDAM,24111,28031,1378.35,1531.65
17,2016,2,MUMBAI,ANTALYA,0,0,1.10,0.00
18,2016,3,MUMBAI,ANTALYA,0,0,0.00,0.00
19,2016,4,MUMBAI,ANTALYA,0,0,0.00,0.00
20,2016,1,MUMBAI,BAHRAIN,41020,33073,951.59,71.85
21,2016,2,MUMBAI,BAHRAIN,36161,36810,953.56,53.85
22,2016,3,MUMBAI,BAHRAIN,36386,33029,789.85,44.41
23,2016,4,MUMBAI,BAHRAIN,32517,35491,875.89,80.02
24,2016,1,MUMBAI,BANGKOK,85727,79539,1591.53,3332.78
25,2016,2,MUMBAI,BANGKOK,92887,94150,1321.62,2761.29
26,2016,3,MUMBAI,BANGKOK,92518,90321,1376.02,3044.22
27,2016,4,MUMBAI,BANGKOK,97761,96725,1839.87,3973.12
28,2016,1,MUMBAI,BRUSELLS,11445,10805,411.94,659.46
29,2016,2,MUMBAI,BRUSELLS,0,0,0.00,0.00
30,2016,3,MUMBAI,BRUSELLS,0,0,0.00,0.00
31,2016,4,MUMBAI,BRUSELLS,0,0,0.00,0.00
32,2016,1,MUMBAI,CAIRO,3932,3328,12.55,17.24
33,2016,2,MUMBAI,CAIRO,4392,3542,25.09,2.44
34,2016,3,MUMBAI,CAIRO,3677,3169,47.53,3.93
35,2016,4,MUMBAI,CAIRO,4248,4466,115.55,8.75
36,2016,1,MUMBAI,COLOGNE,0,0,934.80,0.00
37,2016,2,MUMBAI,COLOGNE,0,0,1058.58,0.00
38,2016,3,MUMBAI,COLOGNE,0,0,918.72,0.00
39,2016,4,MUMBAI,COLOGNE,0,0,851.06,0.00
40,2016,1,MUMBAI,COLOMBO,39760,38402,412.04,334.64
41,2016,2,MUMBAI,COLOMBO,34068,33232,372.32,282.91
42,2016,3,MUMBAI,COLOMBO,39036,38048,363.58,378.28
43,2016,4,MUMBAI,COLOMBO,39722,37987,508.18,281.04
44,2016,1,MUMBAI,DAMMAM,14068,11413,141.38,57.69
45,2016,2,MUMBAI,DAMMAM,14305,16258,155.18,29.70
46,2016,3,MUMBAI,DAMMAM,24947,23009,173.23,15.38
47,2016,4,MUMBAI,DAMMAM,19375,17805,485.92,55.72
48,2016,1,MUMBAI,DHAKA,9829,10070,228.58,180.27
49,2016,2,MUMBAI,DHAKA,7572,11097,223.62,240.14
50,2016,3,MUMBAI,DHAKA,11770,11053,137.83,269.38
51,2016,4,MUMBAI,DHAKA,11561,13229,175.97,224.20
52,2016,1,MUMBAI,DOHA,56799,43314,4780.56,3752.81
53,2016,2,MUMBAI,DOHA,54098,50915,5393.76,3454.19
54,2016,3,MUMBAI,DOHA,51894,51512,4828.01,4019.64
55,2016,4,MUMBAI,DOHA,50480,53761,5836.92,4653.97
56,2016,1,MUMBAI,DUBAI,306820,266241,11822.45,4898.36
57,2016,2,MUMBAI,DUBAI,293911,285634,13344.59,4439.97
58,2016,3,MUMBAI,DUBAI,297325,272797,11344.47,4161.89
59,2016,4,MUMBAI,DUBAI,287188,304405,13718.41,5264.68
60,2016,1,MUMBAI,FRANKFURT,30614,23900,2583.19,3789.24
61,2016,2,MUMBAI,FRANKFURT,30057,25399,2212.97,3169.73
62,2016,3,MUMBAI,FRANKFURT,30446,26641,2462.13,3789.75
63,2016,4,MUMBAI,FRANKFURT,18999,24919,2076.44,3622.10
64,2016,1,MUMBAI,GUANGZHOU,0,0,356.65,0.00
65,2016,2,MUMBAI,GUANGZHOU,0,0,444.66,0.00
66,2016,3,MUMBAI,GUANGZHOU,0,0,425.70,0.00
67,2016,4,MUMBAI,GUANGZHOU,0,0,398.77,159.02
68,2016,1,MUMBAI,HO CHI MINH CITY,1902,2245,45.93,0.00
69,2016,2,MUMBAI,HO CHI MINH CITY,0,0,0.00,0.00
70,2016,3,MUMBAI,HO CHI MINH CITY,0,0,0.00,0.00
71,2016,4,MUMBAI,HO CHI MINH CITY,0,0,0.00,0.00
72,2016,1,MUMBAI,HONG KONG,55001,50400,4022.18,4685.52
73,2016,2,MUMBAI,HONG KONG,58131,57637,3717.22,5339.35
74,2016,3,MUMBAI,HONG KONG,52364,51134,3825.33,5441.77
75,2016,4,MUMBAI,HONG KONG,54203,55842,3611.64,5424.97
76,2016,1,MUMBAI,ISTANBUL,28759,25043,3054.28,2212.22
